location,total_cases,total_deaths,deathsVscases
Vanuatu,4,1,25
Yemen,6317,986,15.61
Egypt,227552,9994,4.39
Syria,22733,998,4.39
Mexico,2344755,99528,4.24
Liberia,2099,85,4.05
Bolivia,303732,9985,3.29
Tunisia,309119,9993,3.23
Malawi,34078,997,2.93
Comoros,3834,98,2.56
Zimbabwe,38257,974,2.55
Italy,4022653,99785,2.48
Senegal,40344,995,2.47
Bulgaria,404380,9978,2.47
United Kingdom,4432246,98723,2.23
Russia,4750755,99800,2.1
Chad,4817,99,2.06
Niger,5228,99,1.89
San Marino,5066,90,1.78
France,5677835,99936,1.76
Fiji,117,2,1.71
Gambia,5898,99,1.68
Afghanistan,59745,996,1.67
Austria,618870,9997,1.62
Switzerland,659974,9988,1.51
El Salvador,69198,997,1.44
Nicaragua,6898,99,1.44
Tanzania,509,7,1.38
Central African Republic,6411,88,1.37
Cameroon,72250,991,1.37
Brunei,224,3,1.34
Bangladesh,759132,9987,1.32
Hungary,779348,9977,1.28
Equatorial Guinea,7694,98,1.27
Benin,7821,99,1.27
Pakistan,825519,9992,1.21
Portugal,836493,9920,1.19
Zambia,91586,991,1.08
Montenegro,97389,999,1.03
Sweden,973604,9834,1.01
Belgium,990229,9996,1.01
Philippines,1037460,9978,0.96
Kosovo,103638,989,0.95
Iraq,1065199,9970,0.94
Suriname,10363,97,0.94
Romania,1055265,9916,0.94
Congo,10678,99,0.93
South Sudan,10583,97,0.92
Bahamas,10453,96,0.92
Trinidad and Tobago,10824,98,0.91
Papua New Guinea,10997,99,0.9
China,102494,905,0.88
Lesotho,10731,93,0.87
Djibouti,11100,96,0.86
Algeria,122108,996,0.82
Estonia,122019,990,0.81
Canada,1228367,9977,0.81
South Korea,122634,981,0.8
Taiwan,1128,9,0.8
Togo,12967,98,0.76
Belize,12668,96,0.76
Albania,131085,989,0.75
Haiti,13056,98,0.75
Guyana,13283,98,0.74
Mauritius,1209,9,0.74
Andorra,13232,98,0.74
Antigua and Barbuda,1232,9,0.73
Burkina Faso,13310,97,0.73
Somalia,13915,99,0.71
Mali,13858,97,0.7
Cambodia,13402,93,0.69
Tajikistan,13308,90,0.68
