continent,location,date,new_cases,new_deaths,new_vaccinations,rolling_avg_cases_7d,rolling_avg_deaths_7d,rolling_avg_vaccinations_7d
Asia,Afghanistan,00:00.0,1,NULL,NULL,1,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0.5,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0.333333333,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0.25,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0.2,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0.166666667,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0.142857143,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0,NULL,NULL
Asia,Afghanistan,00:00.0,1,NULL,NULL,0.142857143,NULL,NULL
Asia,Afghanistan,00:00.0,2,NULL,NULL,0.428571429,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0.428571429,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0.428571429,NULL,NULL
Asia,Afghanistan,00:00.0,0,NULL,NULL,0.428571429,NULL,NULL
Asia,Afghanistan,00:00.0,1,NULL,NULL,0.571428571,NULL,NULL
Asia,Afghanistan,00:00.0,2,NULL,NULL,0.857142857,NULL,NULL
Asia,Afghanistan,00:00.0,1,NULL,NULL,0.857142857,NULL,NULL
Asia,Afghanistan,00:00.0,3,NULL,NULL,1,NULL,NULL
Asia,Afghanistan,00:00.0,1,NULL,NULL,1.142857143,NULL,NULL
Asia,Afghanistan,00:00.0,1,NULL,NULL,1.285714286,NULL,NULL
Asia,Afghanistan,00:00.0,2,NULL,NULL,1.571428571,NULL,NULL
Asia,Afghanistan,00:00.0,1,NULL,NULL,1.571428571,NULL,NULL
Asia,Afghanistan,00:00.0,2,NULL,NULL,1.571428571,NULL,NULL
Asia,Afghanistan,00:00.0,2,NULL,NULL,1.714285714,NULL,NULL
Asia,Afghanistan,00:00.0,4,NULL,NULL,1.857142857,NULL,NULL
Asia,Afghanistan,00:00.0,1,NULL,NULL,1.857142857,NULL,NULL
Asia,Afghanistan,00:00.0,4,NULL,NULL,2.285714286,NULL,NULL
Asia,Afghanistan,00:00.0,1,NULL,NULL,2.142857143,NULL,NULL
Asia,Afghanistan,00:00.0,4,1,NULL,2.571428571,1,NULL
Asia,Afghanistan,00:00.0,7,0,NULL,3.285714286,0.5,NULL
Asia,Afghanistan,00:00.0,2,0,NULL,3.285714286,0.333333333,NULL
Asia,Afghanistan,00:00.0,33,1,NULL,7.428571429,0.5,NULL
Asia,Afghanistan,00:00.0,4,1,NULL,7.857142857,0.6,NULL
Asia,Afghanistan,00:00.0,11,0,NULL,8.857142857,0.5,NULL
Asia,Afghanistan,00:00.0,16,1,NULL,11,0.571428571,NULL
Asia,Afghanistan,00:00.0,11,0,NULL,12,0.428571429,NULL
Asia,Afghanistan,00:00.0,28,0,NULL,15,0.428571429,NULL
Asia,Afghanistan,00:00.0,29,0,NULL,18.85714286,0.428571429,NULL
Asia,Afghanistan,00:00.0,22,0,NULL,17.28571429,0.285714286,NULL
Asia,Afghanistan,00:00.0,43,0,NULL,22.85714286,0.142857143,NULL
Asia,Afghanistan,00:00.0,35,4,NULL,26.28571429,0.714285714,NULL
Asia,Afghanistan,00:00.0,25,2,NULL,27.57142857,0.857142857,NULL
Asia,Afghanistan,00:00.0,38,2,NULL,31.42857143,1.142857143,NULL
Asia,Afghanistan,00:00.0,30,3,NULL,31.71428571,1.571428571,NULL
Asia,Afghanistan,00:00.0,56,1,NULL,35.57142857,1.714285714,NULL
Asia,Afghanistan,00:00.0,21,0,NULL,35.42857143,1.714285714,NULL
Asia,Afghanistan,00:00.0,40,1,NULL,35,1.857142857,NULL
Asia,Afghanistan,00:00.0,47,1,NULL,36.71428571,1.428571429,NULL
Asia,Afghanistan,00:00.0,24,0,NULL,36.57142857,1.142857143,NULL
Asia,Afghanistan,00:00.0,52,1,NULL,38.57142857,1,NULL
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
